"Row.names"		"LAYING"		"SITTING"		"STANDING"		"WALKING"		"WALKING_DOWNSTAIRS"		"WALKING_UPSTAIRS"		"1"		"2"		"3"		"4"		"5"		"6"		"7"		"8"		"9"		"10"		"11"		"12"		"13"		"14"		"15"		"16"		"17"		"18"		"19"		"20"		"21"		"22"		"23"		"24"		"25"		"26"		"27"		"28"		"29"		"30"
"fBodyAcc.mean...X"		-0.634514632070952		-0.638013971149595		-0.642850365299271		-0.592932185104413		-0.571397208317852		-0.645653209483873		-0.626360342685014		-0.569999157030132		-0.65004130414956		-0.650575409570032		-0.586121316144702		-0.501889554318769		-0.620860360288312		-0.623595635861566		-0.689166884092014		-0.78277620547619		-0.672157245158228		-0.609383088249687		-0.634588162420795		-0.638533389407121		-0.747257840718293		-0.552400532215574		-0.57682764068288		-0.656245891835165		-0.5687142625425		-0.572713381915339		-0.556753454563725		-0.517830600209657		-0.663944489900269		-0.633888771623097		-0.570886005654523		-0.624352129086735		-0.709926679327394		-0.66257288866055		-0.568783997602064		-0.67458872332846
"fBodyAcc.mean...Y"		-0.583917642033333		-0.543918655846005		-0.555468004252922		-0.526546706051887		-0.47187870439495		-0.521416486972396		-0.496692193583026		-0.482544927861589		-0.55823424		-0.606192756870662		-0.604837531450331		-0.478471901015077		-0.542460623327078		-0.473661351851957		-0.562689471503472		-0.670734700734694		-0.618103731075949		-0.569541878475625		-0.589457041074924		-0.448840867086687		-0.667866461613232		-0.409104414657213		-0.466456727046196		-0.587690554203846		-0.4515223554175		-0.577778607332203		-0.451832769010049		-0.434246244397508		-0.540339882502688		-0.556445983588714		-0.418254391781565		-0.542875138447219		-0.681560557255745		-0.612478377208822		-0.502137205085814		-0.56684920008564
"fBodyAcc.mean...Z"		-0.688918107597222		-0.645129777013517		-0.656762232320383		-0.667888800658438		-0.653941571193193		-0.674995134416256		-0.670902182223919		-0.668417139400662		-0.769176461612903		-0.548206633687697		-0.604253974992152		-0.623615233151385		-0.73918927937987		-0.633723496819573		-0.651575080456597		-0.778124670918367		-0.72826295414557		-0.698438248171875		-0.674988792348624		-0.678713757295356		-0.723055381952134		-0.570909622587432		-0.660929712807065		-0.719120971766483		-0.699174204111111		-0.672739814265537		-0.660057247614461		-0.51755980156053		-0.678159450815323		-0.633379396595801		-0.511290711672372		-0.729153438505102		-0.674351163954043		-0.72618064560733		-0.632213359367006		-0.689742455981462
"fBodyAcc.meanFreq...X"		-0.226680343276286		-0.23828170239623		-0.230463894648942		-0.188722036044065		-0.224010093818563		-0.218663048257256		-0.0866185715527954		-0.194869096526222		-0.213171936006569		-0.193729926309716		-0.24019263738543		-0.197610283783231		-0.186132599730097		-0.192113784352313		-0.285351997234722		-0.255453192836054		-0.241364751969851		-0.22251570727625		-0.20013964752263		-0.21834558878483		-0.23128702035122		-0.217950435368934		-0.195996276238043		-0.218151744133791		-0.219102999771944		-0.167757299675989		-0.223878660552206		-0.273015357782243		-0.198173210458871		-0.304935838289239		-0.334768344477506		-0.199526462021939		-0.229117599627394		-0.238713700250524		-0.204057134936		-0.240510217537598
"fBodyAcc.meanFreq...Y"		0.0103059028403138		-0.0157132562955003		0.0179248489328127		0.0350435554802904		0.0382568011064651		0.0117873171927202		0.0934254488342651		0.0574490974462252		0.0634888784246334		0.0453891171559464		-0.044563342513245		0.0840153581523077		0.00957984253051948		-0.0268630175214591		-0.0740765849350694		-0.04177626364		0.00968799199367089		0.0221549781846875		0.0801051378206116		0.00440885554043344		0.00337543667835366		0.0304539145644809		0.0400808296975543		-0.0620334006101648		0.0523378328975		0.122420089793559		0.0432129014455637		0.00162388279688473		0.0316473757075269		-0.0843199614711024		-0.112315751361125		0.0460725583970561		-0.0242756440897872		-0.0136918966921204		0.093452118302093		0.0132875059989191
"fBodyAcc.meanFreq...Z"		0.0567510386121651		0.0150182658139223		0.0615176771394318		0.0467188676805438		0.041003032274175		0.0614507940392772		0.0726205586237925		0.0886186445089073		-0.000266961627835777		0.116979301877918		0.0356849859505629		0.108125515137115		0.0383220877840909		0.0421689278551601		-0.0356958396655903		0.0154454538361531		0.00448943688050949		0.112142182103438		0.122437983731193		0.0907999054647059		0.0770756505150701		0.0805806618591803		0.0126764799789946		0.0271248451483516		-0.0252959648175556		0.0856850662743785		0.113769359896642		0.0366082404258879		0.0941144090003226		-0.0430326230665092		-0.0937330388356968		0.0390298700020153		0.0429053529636436		-0.0166427221593194		0.182079608600814		0.0289686661534386
"fBodyAcc.std...X"		-0.610256102596615		-0.607931870303675		-0.617782590320409		-0.59138127724608		-0.55444345040591		-0.629490820875544		-0.667126076157349		-0.499650329749007		-0.620386062895455		-0.685594575528391		-0.558703918124172		-0.514437150358769		-0.619994582287987		-0.604986802846975		-0.662736588742708		-0.754727179221769		-0.641438894841772		-0.563189865778125		-0.604024189544343		-0.632954782675604		-0.716801927144573		-0.549795659396994		-0.584135674208967		-0.648661373021978		-0.511379190395		-0.566565185222881		-0.555728150594142		-0.508384188060436		-0.642061903167204		-0.607280877474331		-0.547652660783252		-0.592891548305102		-0.667674018673883		-0.606309986622513		-0.552434548564244		-0.644549222057441
"fBodyAcc.std...Y"		-0.584307706364923		-0.520190236257935		-0.541272932156317		-0.539822959885558		-0.469875277940519		-0.49225353706239		-0.522757078673775		-0.491028501819868		-0.566143658288592		-0.621224448559811		-0.583772427678808		-0.525029321116369		-0.556509218965909		-0.441120468221708		-0.496414722464687		-0.627982596894558		-0.583497269471519		-0.556706515084063		-0.599088239131498		-0.415524032051393		-0.640487590673476		-0.396606950686694		-0.464475706248913		-0.598228590751044		-0.42929632003		-0.620632306087373		-0.458399706570024		-0.440099202950156		-0.521715410383871		-0.529118304606562		-0.362145192351589		-0.521966098435077		-0.673056908099734		-0.588407554741885		-0.512943853569913		-0.550465339183812
"fBodyAcc.std...Z"		-0.633041973038138		-0.564844748144901		-0.630684474063416		-0.625240483428299		-0.61725476385776		-0.636347844215414		-0.640813625418444		-0.646044020375828		-0.72759917228739		-0.538461685235016		-0.519724066156225		-0.600955628644308		-0.708001937056169		-0.606011981674199		-0.567616674443993		-0.700736568781973		-0.65516783239557		-0.68989996546875		-0.649372292269113		-0.667479729195046		-0.709980424576219		-0.517999326965027		-0.5983292163625		-0.700762836565934		-0.646070907322222		-0.596133129444068		-0.654959935518897		-0.470967588190966		-0.604533764228226		-0.50432429674		-0.361630426307311		-0.680911420579082		-0.624734077798936		-0.664227279108639		-0.668422463835465		-0.655856049722454
"fBodyAccJerk.mean...X"		-0.680073115002932		-0.681404431495442		-0.668223420122697		-0.61160847905493		-0.610201357796942		-0.677336807139533		-0.615393562553026		-0.580048704145364		-0.673979304305865		-0.665577338416404		-0.62496658113245		-0.5207041284292		-0.635824714149351		-0.64779171192669		-0.739977325761458		-0.824078312653061		-0.713434368006329		-0.663221354974687		-0.672131389863914		-0.67335314028461		-0.784202826773781		-0.578508409289372		-0.600256394489674		-0.689085438078846		-0.618152717762778		-0.622738492130791		-0.598106396913971		-0.556831331916199		-0.688463725626344		-0.683859271189764		-0.621036092920049		-0.677719857118878		-0.751614322978723		-0.725471992844241		-0.574402891519942		-0.698932275148303
